발생연도,성별,국제질병분류,암종,연령군,발생자수,조발생률
1999,남녀전체,00. All cancers,모든암,00-04세,538,16.1
1999,남녀전체,00. All cancers,모든암,05-09세,297,8.6
1999,남녀전체,00. All cancers,모든암,10-14세,306,9.6
1999,남녀전체,00. All cancers,모든암,15-19세,527,13.1
1999,남녀전체,00. All cancers,모든암,20-24세,719,18.3
1999,남녀전체,00. All cancers,모든암,25-29세,1539,33.5
1999,남녀전체,00. All cancers,모든암,30-34세,2680,60.7
1999,남녀전체,00. All cancers,모든암,35-39세,4959,110.7
1999,남녀전체,00. All cancers,모든암,40-44세,7009,181.4
1999,남녀전체,00. All cancers,모든암,45-49세,7533,278.8
1999,남녀전체,00. All cancers,모든암,50-54세,9309,419.6
1999,남녀전체,00. All cancers,모든암,55-59세,12860,607.5
1999,남녀전체,00. All cancers,모든암,60-64세,14674,841.6
1999,남녀전체,00. All cancers,모든암,65-69세,13161,1077.8
1999,남녀전체,00. All cancers,모든암,70-74세,11142,1331.6
1999,남녀전체,00. All cancers,모든암,75-79세,8575,1509.2
1999,남녀전체,00. All cancers,모든암,80-84세,4121,1388.1
1999,남녀전체,00. All cancers,모든암,85세이상,1900,1051.8
1999,남녀전체,00. All cancers,모든암,연령전체,101849,215.9
1999,남자,00. All cancers,모든암,00-04세,324,18.4
1999,남자,00. All cancers,모든암,05-09세,165,8.9
1999,남자,00. All cancers,모든암,10-14세,165,9.9
1999,남자,00. All cancers,모든암,15-19세,273,13.2
1999,남자,00. All cancers,모든암,20-24세,282,14
1999,남자,00. All cancers,모든암,25-29세,571,24.3
1999,남자,00. All cancers,모든암,30-34세,900,39.9
1999,남자,00. All cancers,모든암,35-39세,1933,84.1
1999,남자,00. All cancers,모든암,40-44세,3057,154.6
1999,남자,00. All cancers,모든암,45-49세,3908,284.5
1999,남자,00. All cancers,모든암,50-54세,5508,494.9
1999,남자,00. All cancers,모든암,55-59세,8120,795.6
1999,남자,00. All cancers,모든암,60-64세,9725,1213.9
1999,남자,00. All cancers,모든암,65-69세,8344,1663.8
1999,남자,00. All cancers,모든암,70-74세,6689,2133.4
1999,남자,00. All cancers,모든암,75-79세,4927,2451.2
1999,남자,00. All cancers,모든암,80-84세,2188,2422.3
1999,남자,00. All cancers,모든암,85세이상,809,1949.6
1999,남자,00. All cancers,모든암,연령전체,57888,244.5
1999,여자,00. All cancers,모든암,00-04세,214,13.5
1999,여자,00. All cancers,모든암,05-09세,132,8.1
1999,여자,00. All cancers,모든암,10-14세,141,9.3
1999,여자,00. All cancers,모든암,15-19세,254,13.1
1999,여자,00. All cancers,모든암,20-24세,437,22.8
1999,여자,00. All cancers,모든암,25-29세,968,43.1
1999,여자,00. All cancers,모든암,30-34세,1780,82.5
1999,여자,00. All cancers,모든암,35-39세,3026,138.7
1999,여자,00. All cancers,모든암,40-44세,3952,209.4
1999,여자,00. All cancers,모든암,45-49세,3625,273
1999,여자,00. All cancers,모든암,50-54세,3801,343.8
1999,여자,00. All cancers,모든암,55-59세,4740,432.4
1999,여자,00. All cancers,모든암,60-64세,4949,525.1
1999,여자,00. All cancers,모든암,65-69세,4817,669.4
1999,여자,00. All cancers,모든암,70-74세,4453,851.1
1999,여자,00. All cancers,모든암,75-79세,3648,993.5
1999,여자,00. All cancers,모든암,80-84세,1933,935.9
1999,여자,00. All cancers,모든암,85세이상,1091,784
1999,여자,00. All cancers,모든암,연령전체,43961,187.2
2000,남녀전체,00. All cancers,모든암,00-04세,509,15.6
2000,남녀전체,00. All cancers,모든암,05-09세,339,9.6
2000,남녀전체,00. All cancers,모든암,10-14세,292,9.3
2000,남녀전체,00. All cancers,모든암,15-19세,523,13.7
2000,남녀전체,00. All cancers,모든암,20-24세,690,17.6
2000,남녀전체,00. All cancers,모든암,25-29세,1467,32.7
2000,남녀전체,00. All cancers,모든암,30-34세,2720,60.7
2000,남녀전체,00. All cancers,모든암,35-39세,4648,105.4
2000,남녀전체,00. All cancers,모든암,40-44세,7030,172.8
2000,남녀전체,00. All cancers,모든암,45-49세,7858,271.2
2000,남녀전체,00. All cancers,모든암,50-54세,9483,409
2000,남녀전체,00. All cancers,모든암,55-59세,12372,592.4
2000,남녀전체,00. All cancers,모든암,60-64세,14594,812.3
2000,남녀전체,00. All cancers,모든암,65-69세,13850,1064.5
2000,남녀전체,00. All cancers,모든암,70-74세,11538,1306
2000,남녀전체,00. All cancers,모든암,75-79세,8673,1477.3
2000,남녀전체,00. All cancers,모든암,80-84세,4409,1424.6
2000,남녀전체,00. All cancers,모든암,85세이상,2061,1102.6
2000,남녀전체,00. All cancers,모든암,연령전체,103056,216.8
2000,남자,00. All cancers,모든암,00-04세,269,15.7
2000,남자,00. All cancers,모든암,05-09세,190,10.1
2000,남자,00. All cancers,모든암,10-14세,151,9.1
2000,남자,00. All cancers,모든암,15-19세,261,13.2
2000,남자,00. All cancers,모든암,20-24세,276,13.7
2000,남자,00. All cancers,모든암,25-29세,521,22.7
2000,남자,00. All cancers,모든암,30-34세,943,41.2
2000,남자,00. All cancers,모든암,35-39세,1787,78.9
2000,남자,00. All cancers,모든암,40-44세,2983,143.6
2000,남자,00. All cancers,모든암,45-49세,4035,274.4
2000,남자,00. All cancers,모든암,50-54세,5589,479
2000,남자,00. All cancers,모든암,55-59세,7865,779.1
2000,남자,00. All cancers,모든암,60-64세,9599,1154.8
2000,남자,00. All cancers,모든암,65-69세,8970,1647.6
2000,남자,00. All cancers,모든암,70-74세,6988,2124.3
2000,남자,00. All cancers,모든암,75-79세,4996,2416.1
